,b'Apple',b'Blueberry',b'Cherry_(including_sour)',b'Corn_(maize)',b'Grape',b'Orange',b'Peach',"b'Pepper,_bell'",b'Potato',b'Raspberry',b'Rice',b'Soybean',b'Squash',b'Strawberry',b'Tomato'
b'Apple',1825,8,9,7,4,0,6,17,9,1,0,0,0,5,52
b'Blueberry',8,431,0,0,0,0,2,1,1,0,0,1,0,3,7
b'Cherry_(including_sour)',4,0,851,0,5,0,0,1,1,0,0,4,0,0,11
b'Corn_(maize)',1,0,1,1810,4,0,1,1,0,1,1,0,0,0,9
b'Grape',7,0,0,1,1760,0,5,6,0,7,0,1,0,3,15
b'Orange',2,0,1,0,4,477,4,3,0,0,0,0,0,0,12
b'Peach',7,5,0,2,4,0,819,6,17,0,0,0,2,0,29
"b'Pepper,_bell'",27,7,2,0,11,1,11,837,17,18,0,8,1,20,15
b'Potato',2,1,0,0,1,0,3,9,1377,3,0,0,0,2,28
b'Raspberry',3,1,0,0,2,0,0,5,4,422,0,0,0,4,4
b'Rice',0,0,0,0,0,0,0,0,0,0,592,0,0,0,0
b'Soybean',1,3,1,0,3,0,0,8,4,0,0,474,0,3,8
b'Squash',0,0,0,3,2,0,0,0,0,0,0,0,429,0,0
b'Strawberry',7,1,0,0,0,0,0,3,3,0,0,0,0,875,11
b'Tomato',19,13,5,6,31,8,21,11,39,3,0,5,1,12,4411
